Date,Open,High,Low,Close,Adj Close,Volume
2012-01-31,8558.599609,8967.400391,8429.099609,8465.900391,8465.900391,4208337000
2012-02-29,8442.000000,8625.500000,7866.399902,8008.000000,8008.000000,5355500000
2012-03-31,8024.700195,8072.600098,6811.200195,7011.000000,7011.000000,5615409600
2012-04-30,7100.899902,7175.700195,6012.000000,6089.799805,6089.799805,6114999400
2012-05-31,6109.700195,7102.200195,5987.799805,7102.200195,7102.200195,5693913800
2012-06-30,7082.399902,7219.500000,5905.299805,6738.100098,6738.100098,5652954800
2012-07-31,6715.200195,7645.000000,6296.100098,7420.500000,7420.500000,4072970600
2012-08-31,7398.500000,8231.000000,7351.200195,7708.500000,7708.500000,3899291400
2012-09-30,7712.799805,8156.600098,7565.500000,7842.899902,7842.899902,3578071600
2012-10-31,7807.100098,7995.899902,7490.600098,7934.600098,7934.600098,3647751800
2012-11-30,7963.399902,8345.400391,7670.799805,8167.500000,8167.500000,4853621600
2012-12-31,8337.900391,8755.900391,8286.700195,8362.299805,8362.299805,5733507800
2013-01-31,8233.400391,8400.099609,7895.500000,8230.299805,8230.299805,5653713600
2013-02-28,8220.500000,8670.400391,7797.200195,7920.000000,7920.000000,5649808400
2013-03-31,7917.600098,8524.200195,7716.100098,8419.000000,8419.000000,5670217200
2013-04-30,8393.900391,8669.200195,8216.500000,8320.599609,8320.599609,5287322600
2013-05-31,8266.599609,8430.000000,7508.399902,7762.700195,7762.700195,5430677400
2013-06-30,7817.000000,8480.099609,7612.799805,8433.400391,8433.400391,4662330800
2013-07-31,8466.299805,8828.099609,8275.900391,8290.500000,8290.500000,3576983500
2013-08-31,8370.200195,9299.099609,8331.099609,9186.099609,9186.099609,4474030400
2013-09-30,9177.599609,10063.900391,9173.400391,9907.900391,9907.900391,5258081300
2013-10-31,9906.599609,10025.900391,9467.000000,9837.599609,9837.599609,4235766900
2013-11-30,9838.200195,9949.799805,9232.099609,9916.700195,9916.700195,3872808400
2013-12-31,9923.599609,10552.700195,9716.500000,9920.200195,9920.200195,7342758900
2014-01-31,9911.500000,10269.000000,9654.799805,10114.200195,10114.200195,5704183200
2014-02-28,9951.599609,10420.599609,9703.099609,10340.500000,10340.500000,6251645900
2014-03-31,10368.099609,10705.099609,9984.299805,10459.000000,10459.000000,5381212000
2014-04-30,10453.599609,10803.400391,10282.400391,10798.700195,10798.700195,5152915900
2014-05-31,10819.000000,11249.400391,10667.200195,10923.500000,10923.500000,4952030600
